name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Snyk,,https://snyk.io/product/infrastructure-as-code-security/,logos/1c67173ed5d732b05021af4196182cfc927c6954a7a97fd9c2274549b60b2b18.svg,,,,,,,,,Find and fix infrastructure security issues,,,,,,,,,,,,Security Tools,Security Analysis,,,,,,,,,,,,,,,,,,,,,,,,
Spacelift,,https://spacelift.io/,logos/939688f84f521a84b838788b6c6a75525f5909b54ff85da3eccdb8e3f89e7b66.svg,,,,,,,,,Infrastructure delivery platform,,,,,,,,,,,,IaC Platforms & Tools,Infrastructure Management,,,,,,,,,,,,,,,,,,,,,,,,
Spinnaker,,https://spinnaker.io/,logos/700fc06e2f4fc194a0a2ab7d4bcd1eb365548204fa136baedb6ba305b0671833.svg,,,,,,,,,"Open-source, multi-cloud continuous delivery platform",,,,,,,,,,,,DevOps Tools,CI/CD & Automation,,,,,,,,,,,,,,,,,,,,,,,,
Spot by NetApp,,https://spot.io/,logos/4fef7e2de72f265c712038ffc7827914675ef49b5592b3d517a334438f76de6e.svg,,,,,,,,,Cloud infrastructure optimization platform,,,,,,,,,,,,Cost Management,Cost Analysis & Optimization,,,,,,,,,,,,,,,,,,,,,,,,
Tencent Cloud,,https://www.tencentcloud.com/,logos/6335eb908ef80afbfe318fd140781a266259448f0f4d641b83a0720ed43ab51f.svg,,,,,,,,,Tencent's cloud services platform,,,,,,,,,,,,Cloud Infrastructure,Cloud Providers,,,,,,,,,,,,,,,,,,,,,,,,
Terraform,,https://www.terraform.io/,logos/c89722ebb84b5004a6d83f585e93981111bfdf3c1d89adaa0e1706916e20d955.svg,,,,,,,,,HashiCorp's infrastructure as code tool,,,,,,,,,,,,IaC Platforms & Tools,Tools,,,,,,,,,,,,,,,,,,,,,,,,
Terraform-docs,,https://terraform-docs.io/,logos/b51c7cf44ddef4cf23ca851950a6988239d5ea0c335fa08c6117429506203e00.svg,,,,,,,,,Terraform documentation generator,,,,,,,,,,,,IaC Platforms & Tools,Tools,,,,,,,,,,,,,,,,,,,,,,,,
TerraGoat,,https://github.com/bridgecrewio/terragoat,logos/b31972a76f7f34444ebdce79728b7627d169ea615fc76f167ed6e43010f29aa0.svg,,,,,,,,,Cloud security automation,,,,,,,,,,,,Security Tools,Security Analysis,,,,,,,,,,,,,,,,,,,,,,,,
Terragrunt,,https://terragrunt.gruntwork.io/,logos/5249645d05f1e65914339190c899b0702033df76bb09e78410120e79c8e2eecd.svg,,,,,,,,,Terraform automation tool,,,,,,,,,,,,IaC Platforms & Tools,Tools,,,,,,,,,,,,,,,,,,,,,,,,
Terrascan,,https://runterrascan.io/,logos/e2b751203353b3d27561d32d1fe264eb9dd470ae6fcdf33548bf78cc14d1e45f.svg,,,,,,,,,Security vulnerability scanner for IaC,,,,,,,,,,,,Security Tools,Security Analysis,,,,,,,,,,,,,,,,,,,,,,,,
Terratag,,https://terratag.io/,logos/92509977d97adb27747add226c0a7ee2a9566e45410e73859865269f08a3b386.svg,,,,,,,,,Terraform tag generator,,,,,,,,,,,,IaC Platforms & Tools,Tools,,,,,,,,,,,,,,,,,,,,,,,,
Terrateam,,https://terrateam.io/,logos/0e16dd0f6b68054c2e9750e919492781e0f6b52f69f90cd463a8e7d7a7d6abec.svg,,,,,,,,,Terraform management platform,,,,,,,,,,,,IaC Platforms & Tools,Infrastructure Management,,,,,,,,,,,,,,,,,,,,,,,,
tfsec,,https://aquasecurity.github.io/tfsec/,logos/bd7a4dabcbf9943ca9009ccb0c7bb990fbc719b430fb356b53e1fc82f38a9794.svg,,,,,,,,,Security scanner for Terraform code,,,,,,,,,,,,Security Tools,Security Analysis,,,,,,,,,,,,,,,,,,,,,,,,
腾讯 CODING,,https://coding.net/,logos/2b89f14d69552b1f087333a99eaf52ac3f11c8e1965dfe92beb4ae2cf3b8e7eb.svg,,,,,,,,,"腾讯云 DevOps 研发管理平台,提供代码托管、项目管理、CI/CD 等服务",,,,,,,,,,,,DevOps Tools,CI/CD & Automation,,,,,,,,,,,,,,,,,,,,,,,,
阿里云云效,,https://www.aliyun.com/product/yunxiao,logos/85f0beae680fceb94bbe160df55174f2ceda61e9055171c78fd6c0b196387536.svg,,,,,,,,,"阿里云一站式 DevOps 平台,提供代码托管、CI/CD、制品库等服务",,,,,,,,,,,,DevOps Tools,CI/CD & Automation,,,,,,,,,,,,,,,,,,,,,,,,
